0.00,9.02,6.29,11.07,10.50,10.33,11.02,8.03,11.21,8.57,9.29
9.02,0.00,11.27,9.14,8.34,8.19,8.48,11.16,9.10,7.86,9.03
6.29,11.27,0.00,10.35,9.70,10.34,10.29,11.69,13.28,8.14,9.75
11.07,9.14,10.35,0.00,4.87,7.50,5.54,16.09,14.96,6.52,10.91
10.50,8.34,9.70,4.87,0.00,7.45,5.53,15.67,14.46,4.98,10.81
10.33,8.19,10.34,7.50,7.45,0.00,5.18,13.89,12.10,7.00,9.98
11.02,8.48,10.29,5.54,5.53,5.18,0.00,15.54,14.09,6.40,11.06
8.03,11.16,11.69,16.09,15.67,13.89,15.54,0.00,8.68,13.36,12.68
11.21,9.10,13.28,14.96,14.46,12.10,14.09,8.68,0.00,12.26,9.17
8.57,7.86,8.14,6.52,4.98,7.00,6.40,13.36,12.26,0.00,8.69
9.29,9.03,9.75,10.91,10.81,9.98,11.06,12.68,9.17,8.69,0.00
